CODIGO,DESCRIPCION
801,CORAL Y MARFIL
802,CORAL Y NEGRO
20,CREMA
803,CROMADA Y NEGRA
804,CROMO
805,CROMO Y PLATEADO
806,CROMO Y VINOTINTO
211,CURUBA
807,CURUBA MANDARINA Y NEGRO
808,CURUBA Y CREMA
809,DIAMANTE HIELO
24,DORADO
212,DOS TONOS
810,DURAZNO Y MARFIL
213,DUSTY
214,EPSON GREEN MIC
811,ESCARLATA
812,ESMERAL GREEN
813,ESMERALDA
814,ESMERALDA ROJO FERRARI
815,ESMERALDA ROJO FORMULA
816,ESTAÑO SATINADO
817,ESTRACTO DORADO
215,ESTRATO PERLA
818,FIRBLANCO
819,FJORD GRAW
216,FRAMBUESA
820,FRESA
821,FUCSIA
217,GAMUZA
218,GLACIER SILVER
822,GRAFITO
823,GRAFITO METALIZADO 
468,GRAFITO SPARKLI
824,GRAFITO Y CHAMPAÑA
825,GRAFITO Y NEGRO
826,GRANATE
827,GRANATE MALVA
219,GRANET MOUVE
220,GRANGE GOLM
828,GRANITO GRANITO
221,GRAY
28,GRIS
222,GRIS ALBORADA
223,GRIS AMTISTA
224,GRIS ANDINO
225,GRIS ARENA
226,GRIS ASTRAL
227,GRIS AZULOSO
228,GRIS BASALTE
462,GRIS CENIZA
229,GRIS CENTELLA
230,GRIS CLASICO
418,GRIS CONSTEL.
231,GRIS CUARZO
435,GRIS CUMBERLAND
232,GRIS GRAFITO
414,GRIS GRANITO
233,GRIS HUMO
234,GRIS ICEBERS
235,GRIS LILA
236,GRIS MAGNUM
237,GRIS MEDIO
238,GRIS NEPTUNO
239,GRIS NOBLE
424,GRIS NOBRE
240,GRIS OSCURO
241,GRIS PASION
242,GRIS PERLADO
243,GRIS PIEDRA
244,GRIS PLATA
452,GRIS PLATINO
85,GRIS PLOMO
430,GRIS PLUTON
245,GRIS RATON
428,GRIS ROCA
246,GRIS SANDALO
247,GRIS STEEL
248,GRIS THURSTOM
249,GRIS TIERRA
431,GRIS TINTA
429,GRIS TITAN
250,GRIS TRUENO
251,GRIS TUNGSTENO
252,GRIS XERUX
439,GRIS Y
253,GRUG MAGNUN
829,GRYLYNE
830,GUAYABA
831,GUAYABA Y MARFIL
29,HABANO
832,HIPH RED
31,HOJA SECA
443,JADE
512,KAKY NATURAL
72,LADRILLO
834,LAVANDA
835,LAVANDA MICA
94,LILA
836,LILA BLANCO
837,LIRIO AZUL
254,LOBELIA
255,LOIRE GREEN
256,MADERA
838,MADERA CENIZA
839,MADERA OSCURO
840,MADERA SANDALO
257,MAGENTA
258,MAGENTA MICA
841,MAGNESIO
259,MALAQUITA
260,MALVA METALICO
997,MANDARINA
37,MARFIL
540,MARFIL ROJO
73,MARRON
95,MARRON ACERO
261,MED POLYNESIAN
842,MERCURIO PLATA
843,METALICO MARRON OSCURO
844,MOJAVE MIST
845,MORA OSCURO
262,MORADO
40,MORADO CORDOBES
41,MOSTAZA
846,NAPLES GOLD
415,NARANJA
263,NARANJA OTONAL
43,NEGRO
264,NEGRO AZULADO
265,NEGRO BEIGE
52,NEGRO CUARZO
448,NEGRO DIAMANTE
266,NEGRO ECLIPSE
267,NEGRO FORESTAL
268,NEGRO PERLADO
269,NEGRO UNIVERSAL
81,NIAGARA
847,NIAGARA TURQUEZA
848,NIAGARA Y MARFIL
